11111TAMBOR         10000    4000
22222ROLAMENTO      20000    1500
33333DISCO DE FREIO  5000    2000
44444PASTILHA        3000    6000
11111TAMBOR         10000    4000
22222ROLAMENTO      20000    1500
33333DISCO DE FREIO  5000    2000
44444PASTILHA        3000    6000
11111TAMBOR         10000    4000
22222ROLAMENTO      20000    1500
33333DISCO DE FREIO  5000    2000
44444PASTILHA        3000    6000
11111TAMBOR         10000    4000
22222ROLAMENTO      20000    1500
33333DISCO DE FREIO  5000    2000
44444PASTILHA        3000    6000
11111TAMBOR         10000    4000
22222ROLAMENTO      20000    1500
33333DISCO DE FREIO  5000    2000
44444PASTILHA        3000    6000
11111TAMBOR         10000    4000
22222ROLAMENTO      20000    1500
33333DISCO DE FREIO  5000    2000
44444PASTILHA        3000    6000
11111TAMBOR         10000    4000
22222ROLAMENTO      20000    1500
33333DISCO DE FREIO  5000    2000
44444PASTILHA        3000    6000
11111TAMBOR         10000    4000
22222ROLAMENTO      20000    1500
33333DISCO DE FREIO  5000    2000
44444PASTILHA        3000    6000
11111TAMBOR         10000    4000
22222ROLAMENTO      20000    1500
33333DISCO DE FREIO  5000    2000
44444PASTILHA        3000    6000
